Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0879	1	SO330	LVT	"Tanners Hill Jn (SO130) – Lewisham
Jn"	5	29	5	55	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	2	SO330	BEX	St Johns Jn (SO130) – Lewisham Jn	5	54	5	74	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	3	SO330	LCH	"Lewisham Jn – Courthill Loop North
Jn"	5	74	6	21	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	4	SO330	NCS	"Courthill Loop North Jn – Courthill
Loop South Jn"	6	21	6	43	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	5	SO330	LCH	Courthill Loop North Jn – Ladywell Jn	6	21	6	41	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	6	SO330	LCH	Ladywell Jn – New Beckenham Jn	6	41	9	51	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	7	SO330	NBB	New Beckenham Jn – Beckenham Jn	9	51	10	04	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	8	SO330	LCH	New Beckenham Jn – Hayes	9	51	14	32	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	9	SO350	BNG	Grove Park (SO130) – Bromley North	8	87	10	47	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	10	SO500	VTB1	"Victoria platforms 9-19 – Battersea
Pier Jn"	0	00	0	71	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	11	SO500	VTB1	Battersea Pier Jn – Battersea Park Jn	0	71	1	13	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	12	SO500	VTB1	Battersea Park Jn – Pouparts Jn	1	13	2	03	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	13	SO500	VTB1	Pouparts Jn – Falcon Jn	2	03	2	66	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	14	SO500	WLL	"Falcon Jn – Latchmere No1 Jn via
Clapham Jn platforms 16 and 17"	0	00	0	63	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0879	15	SO500	VTB1	Falcon Jn – Balham Jn	2	66	4	69	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	16	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	17	SO500	SNS	"Streatham North Jn – Streatham
South Jn via Reversible Fast Spur"	6	16	6	35	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	18	SO500	SLJ	"Streatham North Jn – Streatham
South Jn via Slow Spurs"	6	14	6	38	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	19	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	Y	Y	R1	N	N	N	N	R120mph Selhurst Down Slow platform 4
Kent-Sussex-Wessex	0879	20	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	21	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	22	SO500	VTB2	"Windmill Bridge Jn – South Croydon
Jn"	9	69	11	29	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	23	SO500	VTB2	South Croydon Jn – Stoats Nest Jn	11	29	14	20	Y	Y	R1	N	N	N	N	R160mph Purley Up Slow platform 3
Kent-Sussex-Wessex	0879	24	SO500	RED1/2	Stoats Nest Jn – Redhill	14	20	22	40	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	25	SO500	RED1/2	"Redhill – Change of Mileage (Redhill /
Slow lines) Via Redhill"	22	40	23	00	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0879	26	SO500	VTB2	"Stoats Nest Jn – Change of Mileage
(Quarry / Fast lines)"	14	20	23	21	Y	Y	Y	N	N	N	N	
