Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western-and-Wales	0767	1	GW580	ESB	"East Somerset Jn – Network Rail
Boundary (East Somerset Railway -
Cranmore East)"	0	11	5	48	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	2	GW600	SWB	"Wootton Bassett Jn – Stoke Gifford Jn
No.1"	83	07	111	79	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	3	GW600	SWB	"Stoke Gifford Jn No.1 – Patchway Jn
No.2"	111	79	112	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	4	GW600	BSW	"Patchway Jn No.2 – Route Boundary
Wales"	5	61	9	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	5	GW600	BSW	"Route Boundary – Ableton Lane
Tunnel (GW900)"	9	12	10	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	6	GW606	DAC	Cowley Bridge Jn – Crediton SB	173	50	179	26	6	N	B	N	N	R1	Y	N	Y	"R1Permitted to assist a failed train or in
connection with infrastructure related trains"
Western-and-Wales	0767	7	GW606	NDN	"Crediton SB – End of Line
(Barnstaple)"	179	26	211	31	5	N	"R1
B"	N	N	"R1
R2
R3"	N	N	R1	"R120mph over bridge NDN-20466 (204m 66ch)
R220mph over Coppplestone Sharpey
overbridge (186m 10ch) Barnstaple Single
line
R3Permitted to assist a failed train or in
connection with infrastructure related trains"
Western-and-Wales	0767	8	GW608	DAC	"Crediton SB – Network Rail Boundary
(Dartmoor Railway - Coleford)"	179	26	183	79	6	N	N	N	N	N	Y	N	Y	
Western-and-Wales	0767	9	GW610	BAE2	"Route Boundary (SW115) (Honiton) –
Exeter St Davids Jn"	164	30	172	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0767	10	GW611	EMT	Exmouth Jn – Exmouth	0	01	9	32	6	N	B	N	N	Y	Y	N	Y	
Western-and-Wales	0767	11	GW618	MOB	"Newton Abbott East Jn – End of Line
(Beyond Heathfield)"	0	14	4	07	6	N	R1	N	N	N	R1	N	R1	R1Prohibited when hauling Dangerous Goods
Western-and-Wales	0767	12	GW620	TOR	"Newton Abbott West Jn – Paignton
Crossover Ground Frame"	214	43	222	25	6	B	B	Y	N	N	Y	N	Y	
Western-and-Wales	0767	13	GW628	SUT1	Laira Jn – Speedway Jn	244	02	244	30	7	N	Y	N	Y	Y	Y	Y	Y	
Western-and-Wales	0767	14	GW628	PLO	Lipson Jn – Speedway Jn	0	00	0	22	7	N	Y	N	Y	Y	Y	Y	Y	
Western-and-Wales	0767	15	GW628	SUT1	Speedway Jn – Mount Gould Jn	244	30	244	43	7	N	Y	N	Y	Y	Y	Y	Y	
Western-and-Wales	0767	16	GW628	SUT2	Mount Gould Jn – Former Friary Jn	244	41	244	60	7	N	Y	N	Y	Y	Y	Y	Y	
Western-and-Wales	0767	17	GW628	FRY	"Former Friary Jn – Turnchapel Branch
Jn"	244	60	245	17	7	N	Y	N	Y	Y	Y	Y	Y	
Western-and-Wales	0767	18	GW628	"TUR/
CWR"	Turnchapel Branch Jn – Buffer Stops	0	00	0	78	5	N	Y	N	N	N	N	N	Y	
Western-and-Wales	0767	19	GW628	FRY	"Turnchapel Branch Jn – Plymouth
Friary"	245	17	245	40	7	N	Y	N	Y	Y	Y	Y	Y	
