Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0476	1	MD120	CWJ	"Camden Jn DC lines (Down DC line
mileage) – Kilburn High Road (DC
Lines)"	1	36	3	01	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0476	2	MD120	CWJ	"ilburn High Road – Willesden
Suburban Jn (DC Lines)"	3	01	5	28	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0476	3	MD120	CWJ	"illesden Suburban Jn – Harrow and
Wealdstone  (Sand Drag) (DC Lines)"	5	28	11	46	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0476	4	MD120	CWJ	"arrow and Wealdstone (Sand Drag) –
Watford Jn (DC Lines)"	11	46	17	58	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0476	5	MD130	WSA	Watford Junction – St Albans Abbey	0	00	6	45	Y	N	N	N	Y	Y	N	H	"R1
R2"	N	"R15mph Watford Jn platform 11
R2Prohibited Watford Jn platform 11 with deflated
suspension (available for detrainment only)"
London-North-Western-South	0476	6	MD136	WCL	arlesden Jn – Railnet Jn	1	00	1	11	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	7	MD136	WCL	"ailnet Jn – Willesden Carriage Shed
South"	1	11	2	00	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	8	MD136	WCL	"illesden Carriage Shed South –
Connection with Yard line"	2	00	2	60	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	9	MD136	WEF1	"Connection with Yard line – Wembley
Central Jn"	2	60	2	76	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	10	MD137	WCL	arlesden Jn – Railnet Jn	1	00	1	11	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	11	MD137	UHL	Railnet Jn – Wembley Yard South Jn	1	11	1	62	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	12	MD137	WEF1	"Wembley Yard South Jn – Wembley
Central Jn"	1	62	2	76	Y	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-South	0476	13	MD140	LEC1	"Bletchley South Jn – Bletchley North
Jn (Change of Mileage)"	46	41	46	59	E	N	N	EH	E	N	N	H	E	N	
London-North-Western-South	0476	14	MD140	BBM	"Bletchley North Jn (Change of
Mileage) – Limit of electrification
(Bletchley TMD)"	0	11	0	21	E	N	N	EH	E	N	N	H	E	N	
London-North-Western-South	0476	15	MD140	BBM	"Limit of electrification (Bletchley TMD)
– Route Boundary (LN3140) (Bedford)"	0	21	16	07	N	N	N	EH	N	N	N	H	N	N	
London-North-Western-South	0476	16	MD145	CRC2	"oute Boundary (EA1320) (Camden
Road West Jn) – Camden Jn (North
DC lines)"	5	42	5	78	Y	N	Y	E	Y	Y	N	Y	N	N	
London-North-Western-South	0476	17	MD150	KGW	"Route Boundary (EA1310) (Kensal
Green Jn) – Willesden Suburban Jn"	5	25	5	36	Y	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0476	18	MD155	KGC	"Route Boundary (EA1310) (Kensal
Green Jn) – Harlesden Jn"	0	21	1	00	Y	N	N	E	N	N	N	Y	N	N	
London-North-Western-South	0476	19	MD160	WMB	"Route Boundary (EA1310) (Willesden
High Level Jn) – Mitre Bridge Jn"	0	09	0	00	Y	N	N	E	N	N	N	Y	N	N	
