Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-South	0530	1	MD232	NMA	bbey Jn – Midland Yard Jn	9	60	10	09	8	H	H	Y	H	H	N	
London-North-Western-South	0530	2	MD232	PVS	"Midland Yard Jn – Limit of Electrification
(Up Direction)"	10	09	10	39	8	H	H	Y	H	H	N	
London-North-Western-South	0530	3	MD232	PVS	"Limit of Electrification (Up Direction) –
Nuneaton South Change of ELR"	10	39	10	61	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0530	4	MD232	WNS	"Nuneaton South Change of ELR –
Nuneaton South Jn"	0	00	0	05	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0530	5	MD232	WNS	"Nuneaton South Jn – Limit of
Electrification (Down Direction)"	0	05	0	39	8	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0530	6	MD232	WNS	"Nuneaton South Jn – Route Boundary
(LN3232) (Hinckley)"	0	05	2	62	8	H	H	Y	H	H	N	
London-North-Western-South	0530	7	MD233	MYC	idland Yard Jn – Canal Farm Jn	0	00	0	69	8	H	H	Y	H	N	N	
London-North-Western-South	0530	8	MD301	RBS1	"Rugby Trent Valley Jn – Coventry South
Jn"	83	18	93	71	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	9	MD301	RBS1	Coventry South Jn – Coventry North Jn	93	71	94	19	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	10	MD301	RBS1	Coventry North Jn – Stechford North Jn	94	19	109	12	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	11	MD301	RBS1	Stechford North Jn – Grand Jn	109	12	111	72	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	12	MD301	RBS1	Grand Jn – Proof House Jn	111	72	112	19	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	13	MD301	RBS1	"Proof House Jn – Birmingham New Street
(Change of Mileage)"	112	19	112	73	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	14	MD301	RBS2	"Birmingham New Street (Change of
Mileage) – Soho South Jn"	0	05	2	06	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	15	MD301	RBS2	Soho South Jn – Soho North Jn	2	06	2	38	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	16	MD301	RBS2	Soho North Jn – Galton Jn	2	38	3	64	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	17	MD301	RBS2	"Galton Jn – Wolverhampton Crane Street
Jn"	3	64	12	60	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	18	MD301	RBS2	"Wolverhampton Crane Street Jn –
Bushbury Jn (Change of Mileage)"	12	60	14	43	8	Y	Y	R1	Y	N	Y	"R1Prohibited North Bay at
Wolverhampton station
(platform 6)"
London-North-Western-South	0530	19	MD301	RBS3	"Bushbury Jn (Change of Mileage) – Route
Boundary (NW1002) (Stafford Trent
Valley Jn No.1)"	15	32	23	30	8	Y	Y	Y	Y	N	Y	
London-North-Western-South	0530	20	MD306	BAG1	"Change of Mileage (Birmingham New
Street) – Lifford West Jn"	42	35	47	20	8	Y	Y	Y	Y	N	N	
London-North-Western-South	0530	21	MD306	BAG1	Lifford West Jn – King's Norton Station Jn	47	20	47	48	8	Y	Y	Y	Y	N	N	
