Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	319	325	373	375	376	377	378	380	387	Notes
Kent-Sussex-Wessex	0848	1	SO130	XTD	"Folkestone Central – Folkestone East
Staff Halt"	69	73	70	73	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	2	SO130	XTD	"Folkestone East Staff Halt – Dover
Substation"	70	73	76	45	N	N	N	N	Y	R1	"R2
R3
R4
R5"	N	N	N	"R1Prohibited between Folkestone East and
Dover Substation when laden
R2Class 377/1 and 377/5 only
R3Prohibited Archcliffe Jn - Dover
Substation
R4Prohibited Abbotscliffe Tunnel Down line
R5Prohibited Martello Tunnel"
Kent-Sussex-Wessex	0848	3	SO140	SBJ	Swanley Jn (SO110) – Otford Jn	17	46	24	53	N	Y	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0848	4	SO140	OJS	Otford Jn – Sevenoaks Jn	24	53	26	58	N	Y	Y	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0848	5	SO140	SBJ	Otford Jn – Jn with Maidstone line	24	53	58	61	N	N	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0848	6	SO150	WMS	Western Jn (SO110) – Middle Jn	43	70	44	13	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	7	SO150	SEJ1	Eastern Jn (SO110) – Middle Jn	0	00	0	23	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	8	SO150	SEJ2	Middle Jn – Sheerness on Sea	44	13	51	19	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	9	SO160	FDM	Faversham Jn (SO110) – Buckland Jn	52	13	76	32	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	10	SO160	FDM	Buckland Jn – Change of mileage	76	32	77	76	N	N	N	N	Y	R1	"R2
R3
R4"	N	N	N	"R1Prohibited between Dover Priory and
Change of mileage when laden
R2Class 377/1 and 377/5 only
R3Prohibited Dover Priory - Change of
mileage
R4Prohibited Priory Tunnel on Up Chatham
line"
Kent-Sussex-Wessex	0848	11	SO160	FDM	"Change of mileage – Dover
Substation"	76	53	76	45	N	N	N	N	Y	E	N	N	N	N	
Kent-Sussex-Wessex	0848	12	SO170	TTH	"Tonbridge East Jn (SO130) –
Tunbridge Wells"	29	55	34	32	N	N	N	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0848	13	SO170	TTH	Tunbridge Wells – Bo Peep Jn	34	32	60	69	N	N	N	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0848	14	SO180	PWS1	"Paddock Wood – Maidstone West
Change of Mileage"	34	67	44	56	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	15	SO210	APL	"Appledore (SO600) – Dungeness
Ground Frame"	64	50	73	65	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0848	16	SO220	ACR	"Ashford (Jn with Canterbury line
(SO130)) – Hitachi Depot (Access)"	56	35	57	05	N	N	N	N	Y	Y	"R1
R2"	E	N	N	"R1Class 377/1 and 377/5 only
R2Prohibited between Ashford (Jn with
Canterbury line (SO130) and Canterbury
West"
Kent-Sussex-Wessex	0848	17	SO220	ACR	"Hitachi Depot (Access) – Minster West
Jn"	57	05	81	69	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	18	SO220	ACR	Minster West Jn – Minster East Jn	81	69	82	17	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0848	19	SO220	ACR	"Minster East Jn – Ramsgate
Substation"	82	17	85	22	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
