Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0965	1	SC155	MHL2	Change of ELR – Millerhill East Jn	1	40	0	28	N	N	N	N	N	N	N	
Scotland	0965	2	SC155	MHL3	"Millerhill East Jn – Millerhill Yard (Goods
Line)"	0	00	0	19	N	N	N	N	N	N	N	
Scotland	0965	3	SC157	MLE	"Millerhill South Jn – Millerhill East Jn
(Goods Line)"	0	09	0	28	N	N	N	N	N	N	N	
Scotland	0965	4	SC159	NDE2	"Millerhill West Jn – Millerhill South Jn /
Millerhill Yard"	6	52	5	72	N	N	N	N	N	N	N	
Scotland	0965	5	SC161	NDE1	"Millerhill Yard – Junction with Niddrie
West Line"	5	52	3	36	N	N	N	Y	N	Y	Y	
Scotland	0965	6	SC161	SUB1	"Junction with Niddrie West Line –
Portobello"	3	36	3	30	N	N	N	Y	N	Y	Y	
Scotland	0965	7	SC161	MHL4	"Newcraighall East Jn – Network Rail /
Abellio Scotrail Boundary"	00	00	00	08	N	N	N	N	N	E	E	
Scotland	0965	8	SC163	SUB1	Portobello – Change of ELR	3	30	4	00	N	N	N	Y	N	Y	Y	
Scotland	0965	9	SC163	SUB2	Change of ELR – Niddrie West	6	69	6	30	N	N	N	Y	N	Y	Y	
Scotland	0965	10	SC164	NNS	"Newcraighall North Jn – Newcraighall
South Jn"	4	63	5	02	N	N	N	N	N	N	R1	R1Permitted up to 6-cars only
Scotland	0965	11	SC164	SBO	Newcraighall South Jn – Tweedbank	5	02	35	34	N	N	N	N	N	N	R1	R1Permitted up to 6-cars only
Scotland	0965	12	SC165	MHY	Niddrie South Jn – Niddrie West Jn	7	06	6	30	N	N	N	Y	Y	Y	Y	
Scotland	0965	13	SC165	SUB2	Niddrie West Jn – Gorgie Jn	6	30	0	45	N	N	N	Y	Y	Y	Y	
Scotland	0965	14	SC165	GGE	Gorgie Jn – Haymarket West Jn	0	00	0	41	N	N	N	Y	Y	Y	Y	
Scotland	0965	15	SC167	CKT	Craiglockhart Jn – Slateford Jn	0	00	0	48	N	N	N	Y	Y	Y	Y	
Scotland	0965	16	SC169	SUB2	Gorgie Jn – Haymarket Central Jn	0	45	0	11	N	N	N	Y	Y	Y	Y	
Scotland	0965	17	SC171	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0965	18	SC171	EGM4	"Edinburgh Waverley – Waverley West
End (South Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0965	19	SC171	ECN1	"Edinburgh Waverley – Waverley West
End (North Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0965	20	SC171	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0965	21	SC171	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0965	22	SC171	EGM2	"Haymarket – Haymarket East Jn (South
Lines)"	46	02	45	72	N	N	N	Y	Y	Y	Y	
Scotland	0965	23	SC171	ECN2	"Haymarket – Haymarket East Jn (North
Lines)"	1	19	1	29	N	N	N	Y	Y	Y	Y	
Scotland	0965	24	SC171	EGM2	"Haymarket East Jn – Haymarket Central
Jn (South Lines)"	45	72	45	35	N	N	N	Y	Y	Y	Y	
