Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0824	1	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	N	N	N	N	N	
Kent-Sussex-Wessex	0824	2	SO500	SNS	"Streatham North Jn – Streatham
South Jn via Reversible Fast Spur"	6	16	6	35	N	N	N	N	N	
Kent-Sussex-Wessex	0824	3	SO500	SLJ	"Streatham North Jn – Streatham
South Jn via Slow Spurs"	6	14	6	38	N	N	N	N	N	
Kent-Sussex-Wessex	0824	4	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	N	N	N	N	N	
Kent-Sussex-Wessex	0824	5	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	N	N	N	N	N	
Kent-Sussex-Wessex	0824	6	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	N	N	N	N	N	
Kent-Sussex-Wessex	0824	7	SO500	VTB2	"Windmill Bridge Jn – South Croydon
Jn"	9	69	11	29	N	N	N	N	N	
Kent-Sussex-Wessex	0824	8	SO500	VTB2	South Croydon Jn – Stoats Nest Jn	11	29	14	20	N	N	N	N	N	
Kent-Sussex-Wessex	0824	9	SO500	RED1/2	Stoats Nest Jn – Redhill	14	20	22	40	N	N	N	N	N	
Kent-Sussex-Wessex	0824	10	SO500	RED1/2	"Redhill – Change of Mileage (Redhill /
Slow lines) Via Redhill"	22	40	23	00	N	N	N	Y	Y	
Kent-Sussex-Wessex	0824	11	SO500	VTB2	"Stoats Nest Jn – Change of Mileage
(Quarry / Fast lines)"	14	20	23	21	N	N	N	N	N	
Kent-Sussex-Wessex	0824	12	SO500	VTB3	"Change of Mileage (Quarry / Fast
lines) – Three Bridges"	21	15	29	21	N	N	N	"R1
R2"	"R1
R2
R3"	"R120mph Three Bridges platforms 2, 4 and 5
R2Prohibited Three Bridges platform 3
R3Prohibited Haslett Avenue Bridge No.125 Up
line"
Kent-Sussex-Wessex	0824	13	SO500	VTB3	Three Bridges – Copyhold Jn	29	21	36	73	N	N	N	N	N	
Kent-Sussex-Wessex	0824	14	SO500	CJA1	Copyhold Jn – Change of Mileage	36	73	36	33	N	N	N	N	N	
Kent-Sussex-Wessex	0824	15	SO500	CJA2	Change of Mileage – Ardingly Sidings	0	00	0	70	N	N	N	N	N	
Kent-Sussex-Wessex	0824	16	SO500	VTB3	Copyhold Jn – Keymer Jn	36	73	40	69	N	N	N	N	N	
Kent-Sussex-Wessex	0824	17	SO500	VTB3	Keymer Jn – Preston Park Jn	40	69	49	43	N	N	N	N	N	
Kent-Sussex-Wessex	0824	18	SO500	PPH	Preston Park Jn – Hove Jn	49	21	50	44	Y	"R1
R2"	"R1
R2"	N	N	"R170mph Preston Park platform 2
R2Prohibited Preston Park platform 3"
Kent-Sussex-Wessex	0824	19	SO500	VTB3	Preston Park Jn – Brighton	49	43	50	49	Y	R1	R1	N	N	R1Prohibited Brighton platform 8
Kent-Sussex-Wessex	0824	20	SO510	LBW	"London Bridge platforms 10-15 –
Bricklayers Arms Jn"	0	00	2	12	N	N	N	N	N	
Kent-Sussex-Wessex	0824	21	SO510	LBW	"Bricklayers Arms Jn – New Cross
Gate Up Jn"	2	12	2	60	N	N	N	N	N	
Kent-Sussex-Wessex	0824	22	SO510	ELL1	"New Cross Gate Up Jn – Network Rail
Boundary / Up ELL"	5	51	5	49	N	N	N	N	N	
