Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0982	1	LN185	GRS3	Boston – Site of Former Firsby East Jn	107	24	122	22	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	2	LN185	GRS4	Site of Former Firsby East Jn - Skegness	0	28	9	17	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	3	LN190	ACD	"Allington East Jn – Allington North Jn (Allington
Chord)"	0	00	0	25	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	4	LN195	NOG1	"Nottingham Branch Jn – Route Boundary
(LN3635) (Rectory Jn SB)"	106	08	111	60	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	5	LN200	NOB3	Wrawby Jn – Pelham Street Jn	12	55	41	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	6	LN206	NOB1	"Route Boundary (LN3625) (Nottingham East
Jn) – Coulson Change of  ELR"	16	02	32	00	R1	R1	R1	Y	Y	Y	Y	Y	Y	"R1Prohibited between Route
Boundary (LN3625) (Nottingham
East Jn) and Newark Crossing
East Jn"
London-North-Eastern	0982	7	LN206	NOB2	Coulson Change of  ELR – Boultham Jn	32	00	32	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	8	LN206	NOB2	Boultham Jn – West Holmes Jn	32	40	32	70	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	9	LN210	NSE	"Newark Crossing South Jn – Newark Crossing
East Jn"	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	10	LN215	BHP	Boultham Jn – Pyewipe Jn	0	00	0	65	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	11	LN220	BCB	Bessacarr Jn – Black Carr Jn	115	72	116	44	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	12	LN235	FWR1	ossington Colliery Jn – End of Line	152	12	151	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	13	LN235	FWR2	ossington Colliery – End of Line	153	31	151	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	14	LN600	ECM2	Shaftholme Jn – Temple Hirst Jn	160	16	169	16	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	15	LN600	ECM3	Temple Hirst Jn – Colton Jn	169	16	182	79	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	16	LN600	ECM4	olton Jn – Colton North Jn	182	79	183	65	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	17	LN600	ECM4	olton North Jn – York Station	183	65	188	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	18	LN600	ECM5	York Station – Birtley Jn	0	00	75	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	19	LN600	ECM5	"Birtley Jn – Low Fell Jn (including via Tyne
Yard)"	75	26	77	37	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	20	LN600	ECM5	Low Fell Jn – King Edward Bridge South Jn	77	37	79	42	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	21	LN600	ECM5	"King Edward Bridge South Jn – Newcastle
West Jn"	79	42	80	05	Y	Y	Y	Y	Y	Y	R1	Y	Y	"R1Prohibited with large
snowploughs fitted"
London-North-Eastern	0982	22	LN600	ECM6	ewcastle West Jn – Newcastle	80	05	80	16	Y	Y	Y	Y	R1	R1	Y	R1	R1	"R1Prohibited Newcastle platforms
10, 11 and 12"
London-North-Eastern	0982	23	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	24	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0982	25	LN600	ECM7	"Heaton South Jn – Route Boundary (SC147)
(Prestonpans Jn)"	1	65	69	67	Y	Y	Y	Y	Y	Y	Y	Y	N	
