Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Scotland	1000	1	SC029	CLY	Larkfield Jn – Terminus Jn	101	01	101	62	Y	Y	Y	N	N	N	N	
Scotland	1000	2	SC029	BRD	"Terminus Jn – Shields Jn via Through
Terminus lines"	101	62	102	16	Y	Y	Y	N	N	N	N	
Scotland	1000	3	SC029	CLY	Terminus Jn – Shields Jn	101	62	102	16	Y	Y	Y	N	N	N	N	
Scotland	1000	4	SC031	GSW	"Route Boundary (NW4031) (Gretna Jn)  – Old
Route boundary (109m 00ch between
Eastriggs and Annan)"	115	40	109	00	Y	Y	Y	N	N	N	N	
Scotland	1000	5	SC031	GSW	"Old Route boundary (109m 00ch between
Eastriggs and Annan) – Change of ELR"	109	0	33	44	Y	Y	Y	N	N	N	N	
Scotland	1000	6	SC031	GBK	Change of ELR – Muirhouse South Jn	23	44	1	18	Y	Y	Y	N	N	N	N	
Scotland	1000	7	SC031	MEN2	Muirhouse South Jn – Muirhouse Central Jn	0	00	0	15	Y	Y	Y	N	N	N	N	
Scotland	1000	8	SC031	MEN1	Muirhouse Central Jn – Eglinton St Jn	0	19	0	70	Y	Y	Y	N	N	N	Y	
Scotland	1000	9	SC031	WCM2	Eglinton St Jn – Bridge St Jn	101	39	101	53	Y	Y	Y	N	Y	N	Y	
Scotland	1000	10	SC031	WCM2	Bridge St Jn – Glasgow Central	101	53	102	27	Y	Y	Y	N	Y	N	Y	
Scotland	1000	11	SC035	KSH	"Bank Jn – Network Rail Boundary (Connel
Park LC) / Knockshinnoch"	54	05	55	28	N	N	N	N	N	N	N	
Scotland	1000	12	SC036	GNN	"Greenburn Jn – Greenburn Open Cast (Goods
Line)"	0	00	0	55	N	N	N	N	N	N	N	
Scotland	1000	13	SC037	RIC1	Kay Park Jn – Bellfield	0	00	1	06	N	N	N	N	N	N	N	
Scotland	1000	14	SC037	RIC2	Bellfield – Riccarton (Goods Line)	2	20	1	75	N	N	N	N	N	N	N	
Scotland	1000	15	SC039	BAK	Kilmarnock – Barassie	0	05	7	56	Y	Y	Y	N	N	N	N	
Scotland	1000	16	SC045	EKE	East Kilbride – Busby Jn	7	60	0	40	N	N	N	N	N	N	N	
Scotland	1000	17	SC047	LFS2	Muirhouse South Jn – Change of ELR	1	19	0	61	EH	EH	Y	N	N	N	N	
Scotland	1000	18	SC047	LFS1	Change of ELR – Larkfield Jn	101	17	101	01	EH	EH	Y	N	N	N	N	
Scotland	1000	19	SC049	TSS	Muirhouse Central Jn – Terminus Jn	0	04	0	40	Y	Y	Y	N	N	N	N	
Scotland	1000	20	SC051	CTC	"Muirhouse Central Jn – Cathcart North Jn (via
Cathcart)"	5	19	1	63	Y	Y	Y	N	N	N	R1	"R1Prohibited between Cathcart West Jn
and Cathcart North Jn"
Scotland	1000	21	SC051	CTC	"Cathcart North Jn – Muirhouse North Jn (via
Crosshill)"	1	63	0	00	Y	Y	Y	N	N	N	N	
Scotland	1000	22	SC053	NNH	Neilston – Cathcart West Jn	108	45	100	77	Y	Y	Y	N	N	N	N	
Scotland	1000	23	SC055	WCM2	Newton, Hamilton Jn – Newton Kirkhill Jn	95	53	95	77	Y	Y	Y	N	N	N	Y	
