Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1014	1	LN3140	BBM	"Route Boundary (MD140) (Bedford St. Johns) –
Bedford Station Jn"	16	07	16	50	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Eastern	1014	2	LN3140	SPC1	"Bedford Station Jn – Bedford Station  (Via Up and
Down Bletchley line)"	49	60	49	65	Y	N	N	N	Y	Y	Y	Y	N	N	
London-North-Eastern	1014	3	LN3201	SPC1	St. Pancras platforms 1, 2 ,3 and 4 - Cricklewood	0	12	5	09	Y	N	N	N	Y	E	E	Y	"R1
R2"	"R1
R2"	"R115mph West Hampstead Thameslink Down
Fast platform 4
R25mph Cricklewood Up Fast platform 3"
London-North-Eastern	1014	4	LN3201	SPC1	Cricklewood – Change of ELR (Bedford)	5	09	50	00	Y	N	N	N	Y	E	E	Y	"R1
R2
R3
R4"	"R1
R2
R3
R4"	"R1Prohibited Hendon Down Slow platform
R2Prohibited Hendon Up Slow platform
R35mph Cricklewood Up Fast platform 3
R415mph Luton Airport Parkway Up Slow
platform"
London-North-Eastern	1014	5	LN3201	SPC2	"Change of ELR (Bedford) – Change of ELR
(Wellingborough)"	50	00	64	78	Y	N	N	N	Y	"E
R1"	"E
R1"	Y	R2	R2	"R1Passenger operation between Bedford
platforms 1-3 and Bedford St Johns only.
R2Prohibited Wellingborough Up and Down
Slow Platform 3"
London-North-Eastern	1014	6	LN3201	SPC3	"Change of ELR (Wellingborough) – Change of
ELR (Wigston South Jn)"	64	78	95	38	Y	N	N	N	Y	E	E	Y	"R1
R2
R3
R4
R5"	"R1
R2
R3
R4
R5"	"R1Prohibited Wellingborough Up and Down
Slow Platform 3
R230mph Wellingborough Up platform 2
R315mph Kettering Down Slow platform 2
R45mph Market Harborough  Down platform
R515mph Harborough Road underbridge 88m
07ch (between East Langton - Kibworth) up
and down lines"
London-North-Eastern	1014	7	LN3201	SPC4	"Change of ELR  (Wigston South Jn) – Change of
ELR (Leicester )"	95	38	98	73	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	8	LN3201	SPC5	Change of ELR  (Leicester ) – Leicester	98	73	99	07	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	9	LN3201	SPC5	Leicester – Ratcliffe Jn	99	07	118	34	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	10	LN3201	SPC5	Ratcliffe Jn – Change of ELR (Ratcliffe)	118	34	118	60	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	11	LN3201	SPC6	"Change of ELR  (Ratcliffe) – Change of ELR
(Spondon)"	118	60	126	27	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	12	LN3201	SPC7	Change of ELR (Spondon) – London Road Jn	126	27	128	23	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	13	LN3201	SPC8	London Road Jn – Derby Jn	127	54	128	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	14	LN3201	SPC8	London Road Jn – Derby Jn	127	54	128	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1014	15	LN3201	SPC8	Derby Jn – Former Clay Cross South Jn	128	08	147	69	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
