Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Anglia	0446	1	EA1380	FSS3	Southend Central – Shoeburyness	35	55	39	40	8	Y	Y	Y	Y	N	N	
Anglia	0446	2	EA1390	TLL	"Barking Tilbury Line Jn East – Former
Tilbury West Jn"	7	60	22	06	8	Y	Y	Y	Y	N	Y	
Anglia	0446	3	EA1390	TLL	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	8	Y	Y	Y	Y	N	N	
Anglia	0446	4	EA1400	GFB	Gas Factory Jn – Bow Jn	2	57	3	47	3	N	N	N	N	N	N	
Anglia	0446	5	EA1410	FSS2	Upminster – Upminster East Jn	15	20	15	39	8	Y	Y	Y	Y	N	N	
Anglia	0446	6	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	8	Y	Y	Y	Y	N	N	
Anglia	0446	7	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	8	N	N	Y	N	N	N	
Anglia	0446	8	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	8	R1	N	Y	N	R1	R1	"R1Prohibited between Signal CO401 on the Down
line and Westerfield Jn"
Anglia	0446	9	EA1430	ESK	"Westerfield Jn – Oulton Broad North
Jn"	73	23	116	27	7	N	N	Y	N	N	N	
Anglia	0446	10	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	7	N	N	Y	N	N	N	
Anglia	0446	11	EA1440	FEL	"Felixstowe Beach Jn – Felixstowe
town"	83	57	84	30	7	N	N	Y	N	N	N	
Anglia	0446	12	EA1450	TFN	"Trimley – Port of Felixstowe North
Quay Terminal"	0	00	0	18	7	N	N	Y	N	N	N	
Anglia	0446	13	EA1460	FED	"Felixstowe Beach Jn – Felixstowe
Beach"	83	57	86	34	7	N	N	Y	N	N	N	
Anglia	0446	14	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	7	"H
R1"	N	Y	H	N	N	"R1The Battery Isolating Switch must be left in the
open position"
Anglia	0446	15	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	7	"H
R1"	N	Y	H	N	N	"R1The Battery Isolating Switch must be left in the
open position"
Anglia	0446	16	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	7	N	N	Y	H	N	N	
Anglia	0446	17	EA1480	"WHC
1"	"Whitlingham Jn – North Walsham
(End of Station Loop)"	1	69	16	30	6	N	N	N	N	N	N	
Anglia	0446	18	EA1480	"WHC
1"	"North Walsham (End of Station Loop)
– Change of Mileage (Site of Former
Roughton Road Jn)"	16	30	24	00	6	N	N	N	N	N	N	
Anglia	0446	19	EA1480	"WHC
2"	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of
Mileage (Site of Former Runton East
Jn)"	11	54	13	48	6	N	N	N	N	N	N	
Anglia	0446	20	EA1480	"WHC
3"	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	6	N	N	N	N	N	N	
