Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0361	1	EA1110	TWN	"Thorpe-Le-Soken Jn – Walton-On-
Naze"	65	19	70	15	N	N	N	N	N	N	N	N	
Anglia	0361	2	EA1120	MAH	"Manningtree South Jn – Manningtree
East Jn"	59	35	59	67	Y	"R1
R2"	Y	Y	N	N	N	Y	"R1Prohibited Manningtree platform 1
R2
15mph Manningtree platform 2 when laden and
30mph when ECS"
Anglia	0361	3	EA1120	NTE	"Manningtree North Jn – Manningtree
East Jn"	0	00	0	24	Y	Y	Y	Y	N	N	N	Y	
Anglia	0361	4	EA1120	MAH	"Manningtree East Jn – Harwich
International Port"	59	67	68	72	Y	R1	Y	Y	N	N	N	R1	"R1Prohibited from using the last 20 metres at the
buffer stop end of platform 3 at Harwich
International Port"
Anglia	0361	5	EA1120	MAH	"Harwich International Port – Harwich
town"	68	72	70	61	Y	N	R1	N	N	N	N	R1	"R1Prohibited from using the last 20 metres at the
buffer stop end of Harwich Town Station"
Anglia	0361	6	EA1130	GRW	Halifax Jn – Griffin Wharf Boundary	0	00	0	47	N	N	N	N	N	N	N	N	
Anglia	0361	7	EA1150	CST	"Channelsea South Jn – Stratford
Central Jn West"	0	29	0	00	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0361	8	EA1160	BGK	"Bethnal Green East Jn – Reading
Lane Jn"	1	10	2	55	N	N	N	N	N	N	N	Y	
Anglia	0361	9	EA1160	BGK	"Reading Lane Jn – Hackney Downs
North Jn"	2	55	3	04	N	N	N	N	N	N	N	Y	
Anglia	0361	10	EA1160	BGK	"Hackney Downs North Jn –
Coppermill Jn"	3	04	4	74	Y	N	N	N	N	N	N	Y	
Anglia	0361	11	EA1160	BGK	Coppermill Jn – Tottenham South Jn	4	74	5	41	N	N	N	N	E	E	N	Y	
Anglia	0361	12	EA1160	BGK	"Tottenham South Jn – Bishops
Stortford (Cannons Mill Lane Footpath
LC (R/G-X)"	5	41	31	31	N	N	N	N	N	N	N	R1	R115mph Bishops Stortford platform 3
Anglia	0361	13	EA1161	BGK	"(Cannons Mill Lane Footpath LC (R/G-
X) Stansted Mountfitchet – Shepreth
Branch Jn"	31	31	53	06	Y	Y	Y	Y	N	N	N	Y	
Anglia	0361	14	EA1161	BGK	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	Y	Y	Y	Y	N	N	N	Y	
Anglia	0361	15	EA1161	BGK	Ely Dock Jn – Ely North Jn	69	79	71	68	Y	R1	Y	Y	N	N	N	Y	"R1Prohibited through Ely platform 3 with deflated
suspension"
Anglia	0361	16	EA1162	BGK	Ely North Jn – Kings Lynn	71	68	96	75	Y	N	N	N	N	N	N	N	
Anglia	0361	17	EA1170	HDT	"Hackney Downs North Jn – Seven
Sisters Jn"	3	04	5	70	Y	N	N	N	N	N	N	Y	
Anglia	0361	18	EA1170	HDT	Seven Sisters Jn – Bury Street Jn	5	70	9	20	N	N	N	N	N	N	N	Y	
Anglia	0361	19	EA1170	ENT	Bury Street Jn – Enfield Town	9	20	10	55	N	N	N	N	N	N	N	Y	
