Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1024	1	SC171	EGM2	"Haymarket East Jn – Haymarket Central
Jn (South Lines)"	45	72	45	35	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	2	SC171	ECN2	"Haymarket East Jn – Haymarket Central
Jn (North Lines)"	1	29	1	66	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	3	SC171	EGM2	"Haymarket Central Jn – Haymarket
West Jn (South Lines)"	45	35	44	73	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	4	SC171	ECN2	"Haymarket Central Jn – Haymarket
West Jn (North Lines)"	1	66	2	41	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	5	SC171	ECN2	"Haymarket West Jn – Dundee Central
Jn"	2	41	58	69	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	6	SC171	ECN2	Dundee Central Jn – Dundee	58	69	59	14	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	7	SC173	CWH1	"Inverkeithing Central Jn – Change of
ELR (Cowdenbeath)"	13	21	22	76	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	R	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	8	SC173	CWH2	"Change of ELR (Cowdenbeath) –
Change of ELR (Lochgelly)"	0	00	0	70	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	9	SC173	CWH3	"Change of ELR (Lochgelly) – Thornton
West Jn"	27	00	34	62	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	10	SC173	TNW	Thornton West Jn – Thornton North Jn	0	70	0	00	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	11	SC175	RHD2	Rosyth Dockyard – Change of ELR	1	21	1	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	12	SC175	RHD1	"Change of ELR – Inverkeithing South Jn
(Goods Line)"	1	00	0	02	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	13	SC176	IGE	"Inverkeithing North Jn – Inverkeithing
East Jn (Inverkeithing Curve)"	0	33	0	00	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until
29/08/2013"
Scotland	1024	14	SC177	MTL1	Thornton North Jn – Change of ELR	0	11	4	65	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1024	15	SC177	MTL2	"Change of ELR – Methill Power Station
(Goods Line)"	7	34	6	48	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
