Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0820	1	SO140	OJS	Otford Jn – Sevenoaks Jn	24	53	26	58	N	N	N	N	N	
Kent-Sussex-Wessex	0820	2	SO140	SBJ	Otford Jn – Jn with Maidstone line	24	53	58	61	N	N	N	N	N	
Kent-Sussex-Wessex	0820	3	SO150	WMS	Western Jn (SO110) – Middle Jn	43	70	44	13	N	N	N	N	N	
Kent-Sussex-Wessex	0820	4	SO150	SEJ1	Eastern Jn (SO110) – Middle Jn	0	00	0	23	N	N	N	N	N	
Kent-Sussex-Wessex	0820	5	SO150	SEJ2	Middle Jn – Sheerness on Sea	44	13	51	19	N	N	N	N	N	
Kent-Sussex-Wessex	0820	6	SO160	FDM	Faversham Jn (SO110) – Buckland Jn	52	13	76	32	N	N	N	N	N	
Kent-Sussex-Wessex	0820	7	SO160	FDM	Buckland Jn – Change of mileage	76	32	77	76	N	N	N	N	N	
Kent-Sussex-Wessex	0820	8	SO160	FDM	"Change of mileage – Dover
Substation"	76	53	76	45	N	N	N	N	N	
Kent-Sussex-Wessex	0820	9	SO170	TTH	"Tonbridge East Jn (SO130) –
Tunbridge Wells"	29	55	34	32	N	N	N	N	N	
Kent-Sussex-Wessex	0820	10	SO170	TTH	Tunbridge Wells – Bo Peep Jn	34	32	60	69	N	N	N	N	N	
Kent-Sussex-Wessex	0820	11	SO180	PWS1	"Paddock Wood – Maidstone West
Change of Mileage"	34	67	44	56	N	N	N	N	N	
Kent-Sussex-Wessex	0820	12	SO210	APL	"Appledore (SO600) – Dungeness
Ground Frame"	64	50	73	65	N	N	N	N	N	
Kent-Sussex-Wessex	0820	13	SO220	ACR	"Ashford (Jn with Canterbury line
(SO130)) – Hitachi Depot (Access)"	56	35	57	05	N	N	N	N	N	
Kent-Sussex-Wessex	0820	14	SO220	ACR	"Hitachi Depot (Access) – Minster West
Jn"	57	05	81	69	N	N	N	N	N	
Kent-Sussex-Wessex	0820	15	SO220	ACR	Minster West Jn – Minster East Jn	81	69	82	17	N	N	N	N	N	
Kent-Sussex-Wessex	0820	16	SO220	ACR	"Minster East Jn – Ramsgate
Substation"	82	17	85	22	N	N	N	N	N	
Kent-Sussex-Wessex	0820	17	SO230	FFH2	"Folkstone East Jn (SO130) –
Folkstone Harbour"	71	08	72	13	N	N	N	N	N	
Kent-Sussex-Wessex	0820	18	SO240	BME2	Buckland Jn – Sandwich	99	05	86	46	N	N	N	N	N	
Kent-Sussex-Wessex	0820	19	SO240	BME2	Sandwich – Minster South	86	46	82	21	N	N	N	N	N	
Kent-Sussex-Wessex	0820	20	SO240	MSW	Minster South Jn – Minster West Jn	82	12	81	64	N	N	N	N	N	
Kent-Sussex-Wessex	0820	21	SO240	BME1	Minster South Jn – Minster East Jn	0	23	0	00	N	N	N	N	N	
Kent-Sussex-Wessex	0820	22	SO250	BSF	"Battersea Pier Jn – Connection to
Battersea Reversible"	0	71	1	18	N	N	N	N	N	
Kent-Sussex-Wessex	0820	23	SO250	BSF	"Connection to Battersea Reversible –
Stewarts Lane Jn"	1	18	1	36	N	N	N	N	N	
