Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-North	0938	1	NW5009	CMD2	Glebe Street Jn – Change of ELR	20	10	15	65	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	0938	2	NW5009	CMD1	Change of ELR – Kidsgrove Jn	16	00	13	68	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	0938	3	NW5009	CMD1	"Kidsgrove Jn – Macclesfield Hibel Road
(Change of ELR )"	13	68	0	00	8	Y	Y	Y	Y	R1	Y	R1Prohibited between Kidsgrove Jn and Macclesfield
London-North-Western-North	0938	4	NW5009	MCH	"Macclesfield Hibel Road (Change of  ELR)
– Cheadle Hulme North Jn"	9	37	0	00	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0938	5	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	6	N	N	N	N	N	N	Line out of use
London-North-Western-North	0938	6	NW5010	SCQ1	"Change of Mileage – Change of Mileage
(Site of Former Milton Jn)"	0	00	3	51	6	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0938	7	NW5010	SCQ2	"Change of Mileage (Site of Former Milton
Jn) – Change of Mileage (Site of Former
Leek Brook Jn)"	0	00	6	65	6	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0938	8	NW5010	SCQ3	"Change of Mileage (Site of Former Leek
Brook Jn) – Caldon Quarry"	0	00	8	01	6	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0938	9	NW5011	HNS	"Heaton Norris Jn – Guide Bridge Station
Jn"	0	00	4	73	8	"H
R1"	"H
R1"	Y	"H
R1"	N	N	R1Prohibited between Denton Jn and Guide Bridge
London-North-Western-North	0938	10	NW5012	NSS	"Route Boundary (LN3505) (North Stafford
Jn) – Stoke Jn"	1	40	0	00	8	H	H	Y	H	N	N	
London-North-Western-North	0938	11	NW5013	DJO1	"Denton Jn – Change of Mileage (Site of
Former Crowthorne Jn)"	4	10	5	28	8	H	H	Y	H	N	N	
London-North-Western-North	0938	12	NW5013	DJO2	"Change of Mileage (Site of Former
Crowthorne Jn) – Change of Mileage (Site
of Former Ashton Moss South Jn)"	0	53	1	19	8	H	H	Y	H	N	N	
London-North-Western-North	0938	13	NW5013	AMJ	"Change of Mileage (Site of Former Ashton
Moss South Jn) – Ashton Moss North Jn"	0	00	0	40	8	H	H	Y	H	N	N	
London-North-Western-North	0938	14	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	15	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	16	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	17	NW5015	HAJ	Hyde Jn – Guide Bridge West Jn	6	16	5	10	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	18	NW5015	HAJ	"Guide Bridge West Jn – Guide Bridge
Station Jn"	5	10	4	73	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	19	NW5015	HAJ	"Guide Bridge Station Jn – Ashburys East
Jn"	4	73	1	56	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	20	NW5015	HAJ	Ashburys East Jn – Ashburys West Jn	1	56	1	36	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	0938	21	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	8	Y	Y	Y	Y	Y	R1	R1For access to TPE Train Care Depot
