Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0959	1	SC059	AYR2	"Change of ELR (Paisley Gilmour Street)
– Change of ELR (Brown Street
crossover)"	6	73	7	00	Y	Y	Y	Y	Y	Y	E	
Scotland	0959	2	SC059	AYR3	"Change of ELR (Brown Street crossover)
– Change of ELR (Dalry)"	7	00	23	00	Y	Y	Y	Y	Y	Y	"E
R1"	R160mph Lochwinnoch down platform
Scotland	0959	3	SC059	AYR4	"Change of ELR (Dalry) – Change of ELR
(Barassie Jn)"	23	00	33	08	Y	Y	Y	Y	Y	Y	"E
R1
R2"	"R140mph Kilwinning up platform
R2Prohibited between Barassie and Change
of ELR (Barassie Jn)"
Scotland	0959	4	SC059	AYR5	"Change of ELR (Barassie Jn) – Change
of ELR (Between Troon and Prestwick
International Airport)"	0	00	2	15	Y	Y	Y	Y	Y	Y	N	
Scotland	0959	5	SC059	AYR6	"Change of ELR (Between Troon and
Prestwick International Airport) –
Falkland Jn"	35	05	38	73	Y	Y	Y	Y	Y	Y	N	
Scotland	0959	6	SC059	AYR6	Falkland Jn – Ayr	38	73	40	49	Y	Y	Y	Y	Y	Y	N	
Scotland	0959	7	SC059	STR1	Ayr – Dalrymple Jn	40	49	43	53	N	N	N	Y	Y	Y	N	
Scotland	0959	8	SC059	STR1	Dalrymple Jn – Change of ELR (Girvan)	43	53	61	60	N	N	N	Y	Y	Y	N	
Scotland	0959	9	SC059	STR2	"Change of ELR (Girvan) – Change of
ELR (Betweeen Challoch LC and
Dunragit SB & LC)"	0	00	30	67	N	N	N	Y	Y	Y	N	
Scotland	0959	10	SC059	STR3	"Change of ELR (Betweeen Challoch LC
and Dunragit SB & LC) – Change of ELR
(Stranraer Yard GF)"	46	54	53	05	N	N	N	Y	Y	Y	N	
Scotland	0959	11	SC059	STR4	"Change of ELR (Stranraer Yard GF) –
End of Line"	53	05	54	05	N	N	N	Y	Y	Y	N	
Scotland	0959	12	SC061	CNL	Shields Jn – Corkerhill	1	05	3	11	N	N	N	Y	Y	Y	E	
Scotland	0959	13	SC061	CNL	Corkerhill – Paisley Canal	3	11	7	00	N	N	N	R1	R1	"R1
R2"	N	"R1Prohibited when overhead line equipment
is energised
R230mph Hawkhead platform"
Scotland	0959	14	SC063	CND1	Cardonald Jn – Cardonald North Jn	0	00	0	36	N	N	N	N	N	N	N	
Scotland	0959	15	SC063	CND2	"Cardonald North Jn – Deanside (Goods
Line)"	0	36	1	54	N	N	N	N	N	N	N	
Scotland	0959	16	SC065	GOU1	Paisley (Wallneuk Jn) – Change of ELR	6	34	6	53	N	N	N	Y	Y	Y	N	
Scotland	0959	17	SC065	GOU2	Change of ELR – Bishopton	107	70	112	60	N	N	N	Y	Y	Y	N	
Scotland	0959	18	SC065	GOU2	Bishopton – Gourock	112	60	126	58	N	N	N	Y	Y	Y	N	
