Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0862	1	SO150	SEJ2	Middle Jn – Sheerness on Sea	44	13	51	19	N	N	N	N	N	N	N	R1	Y	Y	N	"R1Route prohibited to Classes 465/0
and 465/1"
Kent-Sussex-Wessex	0862	2	SO160	FDM	Faversham Jn (SO110) – Buckland Jn	52	13	76	32	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	3	SO160	FDM	Buckland Jn – Change of mileage	76	32	77	76	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	4	SO160	FDM	"Change of mileage – Dover
Substation"	76	53	76	45	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	5	SO170	TTH	"Tonbridge East Jn (SO130) –
Tunbridge Wells"	29	55	34	32	N	N	N	N	N	N	N	Y	Y	Y	R1	"R1OPPOS Up or Down Hastings
through Grove hill Tunnel (between
Tonbridge Wells - Grove Jn)"
Kent-Sussex-Wessex	0862	6	SO170	TTH	Tunbridge Wells – Bo Peep Jn	34	32	60	69	N	N	N	N	N	N	N	N	N	Y	N	
Kent-Sussex-Wessex	0862	7	SO180	PWS1	"Paddock Wood – Maidstone West
Change of Mileage"	34	67	44	56	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	8	SO210	APL	"Appledore (SO600) – Dungeness
Ground Frame"	64	50	73	65	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0862	9	SO220	ACR	"Ashford (Jn with Canterbury line
(SO130)) – Hitachi Depot (Access)"	56	35	57	05	Y	N	N	N	N	N	N	Y	Y	Y	"E
R1"	"R1Prohibited Ashford (Jn with
Canterbury line (SO130)) - Ashford
Station"
Kent-Sussex-Wessex	0862	10	SO220	ACR	"Hitachi Depot (Access) – Minster West
Jn"	57	05	81	69	Y	N	N	N	N	N	N	Y	Y	Y	"E
R1"	"R1Prohibited Ashford Down Yard
East G Jn - Minster West Jn"
Kent-Sussex-Wessex	0862	11	SO220	ACR	Minster West Jn – Minster East Jn	81	69	82	17	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	12	SO220	ACR	"Minster East Jn – Ramsgate
Substation"	82	17	85	22	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	13	SO230	FFH2	"Folkstone East Jn (SO130) –
Folkstone Harbour"	71	08	72	13	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0862	14	SO240	BME2	Buckland Jn – Sandwich	99	05	86	46	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	15	SO240	BME2	Sandwich  – Minster South	86	46	82	21	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	16	SO240	MSW	Minster South Jn – Minster West Jn	82	12	81	64	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	17	SO240	BME1	Minster South Jn – Minster East Jn	0	23	0	00	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0862	18	SO250	BSF	"Battersea Pier Jn  – Connection to
Battersea Reversible"	0	71	1	18	N	Y	Y	Y	Y	Y	E	Y	Y	N	Y	
Kent-Sussex-Wessex	0862	19	SO250	BSF	"Connection to Battersea Reversible –
Stewarts Lane Jn"	1	18	1	36	N	Y	N	N	Y	Y	E	Y	Y	N	Y	
Kent-Sussex-Wessex	0862	20	SO250	BSF	Stewarts Lane Jn – Factory Jn	1	36	1	61	N	Y	N	N	Y	Y	E	Y	Y	N	Y	
