Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Scotland	1003	1	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	Y	Y	Y	N	N	N	N	
Scotland	1003	2	SC101	RCB	Coatbridge Jn – Langloan Jn	7	03	6	34	EH	EH	EH	N	N	N	N	
Scotland	1003	3	SC103	CBD1	Garnqueen North Jn – Gartcosh Jn	1	33	0	00	Y	Y	Y	N	N	N	N	
Scotland	1003	4	SC103	CBD2	Gartcosh Jn – Change of ELR	97	09	103	41	Y	Y	Y	N	N	N	N	
Scotland	1003	5	SC103	SGN	Change of ELR – Cowlairs West Jn	0	61	-0	20	Y	Y	Y	N	N	N	N	
Scotland	1003	6	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	Y	Y	Y	N	N	N	N	
Scotland	1003	7	SC106	PNS	"Sighthill West Jn – Cowlairs South Jn (Chord
Line)"	0	30	0	00	Y	Y	Y	N	N	N	N	
Scotland	1003	8	SC107	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	Y	Y	Y	N	N	N	Y	
Scotland	1003	9	SC107	EGM4	"Edinburgh Waverley – Waverley West End
(South Lines)"	0	00	0	15	Y	Y	Y	N	N	N	Y	
Scotland	1003	10	SC107	ECN1	"Edinburgh Waverley – Waverley West End
(North Lines)"	0	00	0	15	Y	Y	Y	N	N	N	Y	
Scotland	1003	11	SC107	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	Y	Y	Y	N	N	N	Y	
Scotland	1003	12	SC107	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	Y	Y	Y	N	N	N	Y	
Scotland	1003	13	SC107	EGM2	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	Y	Y	Y	N	N	N	Y	
Scotland	1003	14	SC107	ECN2	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	Y	Y	Y	N	N	N	Y	
Scotland	1003	15	SC107	EGM2	"Haymarket East Jn – Haymarket Central Jn
(South Lines)"	45	72	45	35	Y	Y	Y	N	N	N	Y	
Scotland	1003	16	SC107	ECN2	"Haymarket East Jn – Haymarket Central Jn
(North Lines)"	1	29	1	66	Y	Y	Y	N	N	N	Y	
Scotland	1003	17	SC107	EGM2	"Haymarket Central Jn – Haymarket West Jn
(South Lines)"	45	35	44	73	Y	Y	Y	N	N	N	Y	
Scotland	1003	18	SC107	ECN2	"Haymarket Central Jn – Haymarket West Jn
(North Lines)"	1	66	2	41	Y	Y	Y	N	N	N	N	
Scotland	1003	19	SC107	EGM1	Haymarket West Jn – Cowlairs West Jn	44	73	1	67	Y	Y	Y	N	N	N	N	
Scotland	1003	20	SC107	EGM1	Cowlairs West Jn – Glasgow Queen Street	1	67	0	00	Y	Y	Y	N	N	N	N	
Scotland	1003	21	SC109	PMT	Polmont Jn – Grangemouth Jn	21	20	23	75	Y	Y	Y	N	N	N	N	
Scotland	1003	22	SC109	PMT	Grangemouth Jn – Carmuirs East Jn	23	75	25	79	Y	Y	Y	N	N	N	N	
