Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0415	1	EA1380	FSS1	Gas Factory Jn – East Ham Depot	2	57	6	18	3	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"R1
R2
R3"	"1
25mph over bridge 25 (3m 09ch) (Up and
Down Lines)
225mph over bridge 39 (4m 01ch) (Down
Line only)
325mph over bridge 40 (4m 02ch) (Down
Line only)"
Anglia	0415	2	EA1380	FSS1	"East Ham Depot – Barking Tilbury Jn
West"	6	18	7	33	3	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	3	EA1380	FSS2	"Barking Tilbury Jn West – Barking
Tilbury Jn East"	7	33	7	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	4	EA1380	FSS2	Barking Tilbury Jn East – Upminster	7	60	15	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	5	EA1380	FSS2	Upminster – Southend Central	15	20	35	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	6	EA1380	FSS3	Southend Central – Shoeburyness	35	55	39	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	7	EA1390	TLL	"Barking Tilbury Line Jn East – Former
Tilbury West Jn"	7	60	22	06	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	8	EA1390	TLL	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	9	EA1400	GFB	Gas Factory Jn – Bow Jn	2	57	3	47	3	Y	N	Y	Y	Y	Y	R1	Y	1Classes 37/3, 37/4. 37/6 prohibited
Anglia	0415	10	EA1410	FSS2	Upminster – Upminster East Jn	15	20	15	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	11	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	12	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	13	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	14	EA1430	ESK	"Westerfield Jn – Oulton Broad North
Jn"	73	23	116	27	7	R1	R1	R1	R1	R1	R1	R1	R1	"120mph over Bridge 429 River Deben
(81m 73ch – 81m 76ch)
NC/G1/2016/ANG/005 until 31 March 2022"
Anglia	0415	15	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	16	EA1440	FEL	"Felixstowe Beach Jn – Felixstowe
town"	83	57	84	30	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	17	EA1450	TFN	"Trimley – Port of Felixstowe North
Quay Terminal"	0	00	0	18	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	18	EA1460	FED	"Felixstowe Beach Jn – Felixstowe
Beach"	83	57	86	34	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0415	19	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	7	Y	Y	Y	Y	Y	Y	Y	Y	
